160        LANGAGES ET PROGRAMMATION
161        MODES ET SYSTEMES D'EXPLOITATION
162        BASES DE DONNEES
163        INFORMATIQUE DE GESTION
164        RESEAUX
165        WEB, INTERNET, NOUVELLES TECHNOLOGIES INFORMATION
166        HARDWARE, MISE EN OEUVRE ET MAINTENANCE MATERIELS
167        SPECIALITES PLURIVALENTES DE SERVICE AUX PERSONNES
168        SANTE
169        ACTION SOCIALE, PREVENTION M.S.T
170        ENSEIGNEMENT, FORMATION
171        HOTELLERIE, RESTAURATION, BOULANGERIE, PATISSERIE
172        TOURISME, AGENCES DE VOYAGE
173        GESTION IMMOBILIERE
174        ANIMATION CULTURELLE, SPORTIVE ET DE LOISIRS
175             SERVICES POSTAUX
176             AUTRES SERVICES AUX PERSONNES (COIFFURE, ESTHETIQ.
177             SPECIALITES PLURIVALENTES DE SERVICES A LA COLLECT
178             AMENAGEMENTT DU TERRITOIRE, URBANISME
180             PROTECTION DE L'ENVIRONNEMENT, ECOLOGIE
181             NETTOYAGE, ASSAINISSEMENT
182             SECURITE DES BIENS ET PERSONNES, HYGIENE, SECURITE
183             DEFENSE DES DROITS ET STATUTS DES PERSONNES
184             ANIMATION RURALE, APPUI AUX COLLECTIVITES LOCALES
185             AUTRES SERVICES AUX COLLECTIVITES
186             SPECIALITES PLURIVALENTES DE CAPACITE INDIVIDUEL.
187             PRATIQUES SPORTIVES
188             DEVELOPPEM. CAPACITE COMPORTEMENTALE, RELATIONNEL.
189             DEVELOPPEMENT CAPACITES INDIVIDUELLES D'ORGANISAT.
190             DEVELOPPEMENT COGNITIF, DYNAMISATION MENTALE
191             EXPRESSION ECRITE ET ORALE, CONDUITE DE REUNION
192             DEVELOPPEMENT CAPACITE D'ORIENTATION & D'INSERTION
193             AUTRE CAPACITE INDIVIDUELLE ET DEVELOPP. PERSONNEL
194             SPECIALITE PLURIVAL. ACTIVITE QUOTIDIENNE, LOISIR
195             JEUX ET ACTIVITES DE LOISIRS
196             ECONOMIE ET ACTIVITES DOMESTIQUES
197             VIE FAMILIALE ET SOCIALE
198             AUTRES ACTIVITES QUOTIDIENNES
199             NON CLASSE AILLEURS
200             DOMAINES DISCIPLINAIRES
201             METEOROLOGIE
202             HYGIENE ET SECURITE AU TRAVAIL

